CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2011-1,8,2012-4,91,98,10300.829999999996,3108.5999999999995
2011-1,9,2013-1,87,92,12635.480000000005,3423.620000000003
2011-1,10,2013-2,74,81,24473.170000000042,5529.73
2011-1,11,2013-3,46,47,4003.409999999999,1065.54
2011-1,12,2013-4,54,54,6072.329999999997,1290.19
2011-1,13,2014-1,64,71,6796.069999999992,1514.4899999999998
2011-1,14,2014-2,65,70,6590.749999999993,1837.4499999999998
2011-1,15,2014-3,52,55,4826.929999999996,1296.38
2011-1,16,2014-4,38,39,4689.759999999997,1337.94
2011-1,17,2015-1,32,33,3906.609999999998,1119.15
2011-1,18,2015-2,47,52,4524.949999999998,1044.0199999999998
2011-1,19,2015-3,35,38,3637.999999999998,1248.94
2011-1,20,2015-4,26,26,4848.309999999999,1202.77
2011-1,21,2016-1,29,31,6229.719999999999,1442.3400000000001
2011-1,22,2016-2,29,32,12349.810000000001,2459.7499999999995
2011-1,23,2016-3,17,18,1876.64,545.3299999999999
2011-1,24,2016-4,20,21,4628.549999999998,1041.32
2011-1,25,2017-1,24,31,7425.579999999999,1294.01
2011-1,26,2017-2,18,21,2866.5899999999997,763.8
2011-1,27,2017-3,2,2,379.84999999999997,90.84
2011-2,1,2011-2,1892,2331,308093.46000000875,64696.4699999999
2011-2,2,2011-3,281,295,31856.540000000135,7675.629999999998
2011-2,3,2011-4,193,208,24843.84000000008,5129.069999999998
2011-2,4,2012-1,177,190,22036.810000000078,4993.619999999997
2011-2,5,2012-2,165,184,35979.26,6981.390000000001
2011-2,6,2012-3,162,171,17066.870000000024,4305.17
2011-2,7,2012-4,124,135,13376.740000000013,3613.38
2011-2,8,2013-1,86,92,8979.999999999996,2629.120000000001
2011-2,9,2013-2,71,78,10774.960000000008,2409.0699999999997
2011-2,10,2013-3,85,93,9871.16,2278.6100000000006
2011-2,11,2013-4,68,74,9441.619999999995,1607.2600000000007
2011-2,12,2014-1,56,61,6726.4099999999935,1510.7299999999998
