CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2012-1,15,2015-3,30,31,3268.6799999999985,1007.91
2012-1,16,2015-4,25,27,1451.3800000000003,415.99999999999994
2012-1,17,2016-1,39,40,3213.4899999999984,1211.8200000000002
2012-1,18,2016-2,31,32,2417.79,718.4399999999999
2012-1,19,2016-3,31,31,3509.189999999998,942.7900000000001
2012-1,20,2016-4,19,19,1766.6900000000003,544.9
2012-1,21,2017-1,30,33,2812.1499999999996,745.1
2012-1,22,2017-2,22,23,2084.8400000000006,636.8199999999999
2012-1,23,2017-3,1,1,48.95,21.66
2012-2,1,2012-2,929,1177,88107.46999999866,26288.15999999995
2012-2,2,2012-3,105,106,10150.060000000007,3510.0800000000017
2012-2,3,2012-4,87,90,7918.989999999991,2226.7700000000013
2012-2,4,2013-1,103,107,9506.29,2945.2499999999995
2012-2,5,2013-2,81,82,5978.989999999992,1697.4399999999996
2012-2,6,2013-3,78,82,5929.039999999994,1799.4300000000005
2012-2,7,2013-4,64,66,8211.589999999993,3177.400000000001
2012-2,8,2014-1,58,60,3810.4599999999964,1322.3100000000006
2012-2,9,2014-2,45,48,4096.189999999999,1268.5
2012-2,10,2014-3,45,46,3096.3300000000004,925.46
2012-2,11,2014-4,43,47,3722.4799999999973,1061.29
2012-2,12,2015-1,43,44,3042.1499999999983,885.52
2012-2,13,2015-2,39,39,5127.559999999997,1320.6100000000004
2012-2,14,2015-3,28,29,2462.9400000000005,844.6300000000001
2012-2,15,2015-4,26,26,1937.5500000000009,483.1499999999999
2012-2,16,2016-1,21,22,1964.1500000000003,633.78
2012-2,17,2016-2,29,31,2103.71,821.4300000000001
2012-2,18,2016-3,25,25,2268.59,643.19
2012-2,19,2016-4,29,31,2910.24,1066.2799999999997
2012-2,20,2017-1,23,26,1927.6300000000008,511.1700000000001
2012-2,21,2017-2,18,18,2291.7000000000003,956.5000000000002
2012-3,1,2012-3,894,1140,78700.64999999892,23006.919999999995
2012-3,2,2012-4,91,95,8232.33999999999,2228.49
2012-3,3,2013-1,80,82,5652.379999999994,1661.05
2012-3,4,2013-2,64,66,4721.569999999996,1492.4699999999998
2012-3,5,2013-3,75,80,6307.299999999993,1804.3399999999995
2012-3,6,2013-4,73,74,6691.749999999994,2190.45
2012-3,7,2014-1,58,62,5881.669999999996,1698.4900000000002
2012-3,8,2014-2,47,50,3967.9499999999985,1520.3100000000002
2012-3,9,2014-3,63,67,6249.469999999996,1405.3800000000003
2012-3,10,2014-4,46,46,4245.529999999996,1685.66
2012-3,11,2015-1,29,32,2671.99,684.8199999999999
2012-3,12,2015-2,37,41,3631.5999999999976,1035.2700000000002
2012-3,13,2015-3,35,37,3456.6999999999994,1183.3699999999997
2012-3,14,2015-4,21,21,1582.6900000000005,391.77000000000004
2012-3,15,2016-1,33,35,4192.689999999998,1091.9199999999998
2012-3,16,2016-2,28,28,2925.429999999999,640.2600000000001
2012-3,17,2016-3,34,34,4480.439999999998,1018.3799999999998
2012-3,18,2016-4,18,19,1928.5400000000004,578.77
2012-3,19,2017-1,27,29,3173.399999999999,893.7499999999999
2012-3,20,2017-2,25,25,2462.0699999999993,559.04
2012-4,1,2012-4,1026,1333,114637.8199999981,30920.069999999963
2012-4,2,2013-1,139,155,12699.220000000018,3674.24
2012-4,3,2013-2,94,98,8439.669999999987,2253.4400000000005
2012-4,4,2013-3,72,75,5948.1099999999915,1617.1399999999999
2012-4,5,2013-4,84,88,7504.39999999999,2115.0099999999998
2012-4,6,2014-1,51,53,5491.319999999996,1832.04
2012-4,7,2014-2,55,59,5853.849999999995,2674.2999999999997
2012-4,8,2014-3,64,67,6127.929999999994,1907.8199999999995
2012-4,9,2014-4,68,74,6862.679999999992,1693.6599999999996
2012-4,10,2015-1,70,73,6638.199999999994,2060.0299999999993
2012-4,11,2015-2,28,30,1977.8700000000008,673.1199999999999
2012-4,12,2015-3,35,35,3139.7999999999997,867.5300000000001
2012-4,13,2015-4,37,38,3283.0499999999993,758.5899999999998
2012-4,14,2016-1,39,46,5383.489999999996,2008.2
2012-4,15,2016-2,29,30,3161.1999999999994,966.4099999999999
2012-4,16,2016-3,40,43,4063.669999999998,1149.97
2012-4,17,2016-4,35,36,3382.5899999999997,1071.99
2012-4,18,2017-1,26,29,2259.04,640.0300000000002
2012-4,19,2017-2,31,33,2751.939999999999,792.7
2012-4,20,2017-3,3,3,222.8,77.94
2013-1,1,2013-1,891,1160,92793.19999999889,28821.119999999984
2013-1,2,2013-2,100,108,8741.239999999996,2969.2900000000013
2013-1,3,2013-3,102,108,8888.929999999998,2658.4600000000005
2013-1,4,2013-4,87,94,7568.88999999999,2175.000000000001
2013-1,5,2014-1,56,59,4568.299999999996,1298.14
2013-1,6,2014-2,63,67,6776.859999999994,2197.3
2013-1,7,2014-3,54,56,4066.129999999998,1056.4399999999998
2013-1,8,2014-4,57,59,5327.539999999996,1239.0400000000002
2013-1,9,2015-1,57,61,5303.689999999994,1910.2099999999998
2013-1,10,2015-2,38,40,4207.609999999999,2002.98
2013-1,11,2015-3,31,35,2845.879999999999,862.0899999999999
2013-1,12,2015-4,33,34,3088.0199999999977,1324.1800000000003
2013-1,13,2016-1,33,35,2742.3,955.1399999999998
2013-1,14,2016-2,26,26,2208.140000000001,554.3999999999999
2013-1,15,2016-3,29,30,2695.5899999999997,761.1899999999999
2013-1,16,2016-4,30,30,3105.249999999998,893.17
2013-1,17,2017-1,33,33,2194.580000000001,761.7999999999998
2013-1,18,2017-2,24,25,2667.33,840.8900000000003
2013-2,1,2013-2,866,1130,83780.37999999875,24212.950000000063
2013-2,2,2013-3,107,112,8788.90999999999,2068.6699999999996
2013-2,3,2013-4,78,82,8546.949999999993,2577.739999999999
2013-2,4,2014-1,70,71,9115.399999999998,3369.7499999999995
2013-2,5,2014-2,60,62,4675.819999999996,1867.5000000000005
2013-2,6,2014-3,70,72,8758.2,2728.78
2013-2,7,2014-4,62,63,5401.339999999995,1309.9600000000005
2013-2,8,2015-1,38,41,3124.029999999998,887.5799999999999
2013-2,9,2015-2,48,50,4386.059999999998,1515.85
2013-2,10,2015-3,47,56,4425.559999999998,1211.3500000000004
2013-2,11,2015-4,40,40,4099.4299999999985,946.2399999999999
2013-2,12,2016-1,32,33,3065.5599999999995,738.29
2013-2,13,2016-2,36,36,2990.729999999998,825.5000000000002
2013-2,14,2016-3,39,40,4219.849999999998,1156.84
2013-2,15,2016-4,47,52,4642.779999999997,1276.25
2013-2,16,2017-1,34,35,3282.9999999999977,1102.5800000000002
2013-2,17,2017-2,25,25,2699.7899999999995,838.4800000000001
2013-2,18,2017-3,5,6,257.75,115.01
2013-3,1,2013-3,961,1277,103888.51999999832,31595.560000000027
2013-3,2,2013-4,137,148,13705.580000000016,3874.7
2013-3,3,2014-1,75,81,6772.6899999999905,2268.3
2013-3,4,2014-2,75,80,6260.779999999992,1736.83
2013-3,5,2014-3,85,95,9363.149999999994,2150.27
2013-3,6,2014-4,72,77,7741.859999999995,2079.2200000000007
2013-3,7,2015-1,69,74,5119.609999999995,1553.8600000000004
2013-3,8,2015-2,56,57,8356.229999999996,3928.540000000002
2013-3,9,2015-3,64,70,5228.039999999996,1763.12
2013-3,10,2015-4,36,39,3452.639999999999,955.3399999999999
2013-3,11,2016-1,32,32,2531.09,918.2099999999999
2013-3,12,2016-2,39,39,3140.889999999999,871.7199999999997
2013-3,13,2016-3,46,48,4177.499999999997,1032.5900000000001
2013-3,14,2016-4,40,40,2950.909999999998,805.45
2013-3,15,2017-1,42,43,5021.819999999997,1749.3799999999999
2013-3,16,2017-2,30,33,3219.2499999999986,744.04
2013-3,17,2017-3,2,2,388.89,69.32
2013-4,1,2013-4,757,1011,86750.96999999876,27724.52
2013-4,2,2014-1,88,96,11241.240000000009,4276.340000000001
2013-4,3,2014-2,57,60,5028.279999999994,1246.4900000000005
2013-4,4,2014-3,62,64,7148.249999999994,2347.64
2013-4,5,2014-4,81,88,5419.959999999994,1744.8999999999992
2013-4,6,2015-1,54,56,15305.040000000026,8377.169999999996
2013-4,7,2015-2,54,61,8138.039999999994,3203.759999999999
2013-4,8,2015-3,41,43,7373.129999999996,4222.819999999999
2013-4,9,2015-4,35,36,3075.9399999999973,993.93
2013-4,10,2016-1,39,41,4051.6799999999994,1417.8599999999997
2013-4,11,2016-2,34,35,3085.8799999999983,819.09
2013-4,12,2016-3,50,53,5009.939999999996,1704.1399999999999
2013-4,13,2016-4,32,34,2916.1499999999987,857.2499999999998
2013-4,14,2017-1,31,32,1894.750000000001,608.2199999999999
2013-4,15,2017-2,22,23,2131.3,539.7199999999999
2013-4,16,2017-3,1,1,113.85,49.32
2014-1,1,2014-1,759,997,95830.30999999888,33707.29000000001
2014-1,2,2014-2,97,105,16059.250000000024,4733.78
2014-1,3,2014-3,74,76,11207.62000000001,5754.2800000000025
2014-1,4,2014-4,67,75,9500.350000000002,4081.280000000001
2014-1,5,2015-1,70,72,7998.789999999992,3133.8999999999996
2014-1,6,2015-2,52,53,4922.359999999997,1344.6200000000001
2014-1,7,2015-3,37,38,3565.259999999999,1413.5000000000002
2014-1,8,2015-4,43,44,3668.499999999998,1097.0100000000002
2014-1,9,2016-1,36,37,3297.3799999999987,1345.3
2014-1,10,2016-2,31,33,2953.0499999999993,857.95
2014-1,11,2016-3,40,44,3987.5099999999975,1047.4199999999998
2014-1,12,2016-4,32,33,2690.47,793.0300000000001
2014-1,13,2017-1,40,41,3103.829999999999,856.9299999999997
2014-1,14,2017-2,30,30,2151.9500000000003,732.54
2014-1,15,2017-3,1,1,34.95,11.59
2014-2,1,2014-2,753,1025,97028.37999999891,27444.520000000008
2014-2,2,2014-3,116,128,16710.500000000022,3937.01
2014-2,3,2014-4,82,91,9062.689999999995,2434.6899999999996
2014-2,4,2015-1,66,76,8720.81999999999,2173.4400000000005
2014-2,5,2015-2,57,62,7511.509999999994,1749.6200000000001
2014-2,6,2015-3,52,56,5196.249999999994,1782.8699999999997
2014-2,7,2015-4,52,59,5806.879999999992,1383.2099999999996
2014-2,8,2016-1,49,50,4105.389999999997,1219.67
2014-2,9,2016-2,54,62,5737.449999999993,1532.2199999999996
2014-2,10,2016-3,46,49,5025.089999999997,1955.3199999999997
2014-2,11,2016-4,36,42,3159.7199999999984,1024.91
2014-2,12,2017-1,35,38,3405.949999999999,946.09
2014-2,13,2017-2,35,35,5269.339999999997,2049.9099999999994
2014-2,14,2017-3,1,1,74.95,17.63
2014-3,1,2014-3,816,1178,106249.74999999863,26112.4
2014-3,2,2014-4,127,141,22486.96000000002,3950.6800000000003
2014-3,3,2015-1,73,77,7501.779999999992,2285.51
2014-3,4,2015-2,54,59,4313.959999999996,1159.6499999999996
2014-3,5,2015-3,72,76,5607.619999999993,1533.1899999999998
2014-3,6,2015-4,47,51,4919.569999999998,1735.3799999999999
2014-3,7,2016-1,49,50,4200.139999999998,956.6500000000001
2014-3,8,2016-2,39,42,2416.62,761.1099999999999
2014-3,9,2016-3,51,53,4646.7999999999965,1424.4000000000003
2014-3,10,2016-4,38,39,3140.459999999999,923.5600000000001
2014-3,11,2017-1,33,33,2462.1899999999996,607.1800000000001
2014-3,12,2017-2,39,43,3286.349999999999,1119.9299999999996
2014-3,13,2017-3,8,8,332.7,99.46
2014-4,1,2014-4,792,1119,104091.7099999985,28952.15999999999
2014-4,2,2015-1,125,140,14754.200000000015,4233.650000000001
2014-4,3,2015-2,87,95,8928.889999999994,2337.0699999999997
2014-4,4,2015-3,61,70,8584.769999999997,2398.5099999999998
2014-4,5,2015-4,68,74,7145.559999999992,1832.1099999999992
2014-4,6,2016-1,65,74,7344.76999999999,2169.7999999999993
2014-4,7,2016-2,45,52,4307.599999999996,1230.2500000000005
2014-4,8,2016-3,60,63,5434.439999999995,1906.3100000000002
2014-4,9,2016-4,63,70,6137.5399999999945,1810.94
2014-4,10,2017-1,37,46,5795.4999999999945,1279.23
2014-4,11,2017-2,32,40,5449.259999999999,1352.5100000000007
2014-4,12,2017-3,2,2,206.85000000000002,74.94
2015-1,1,2015-1,851,1208,111861.24999999838,31482.640000000003
2015-1,2,2015-2,110,116,9468.009999999998,3001.149999999999
2015-1,3,2015-3,77,77,6213.309999999991,2237.2400000000007
2015-1,4,2015-4,75,80,6755.519999999992,1785.58
2015-1,5,2016-1,75,78,7438.909999999991,1902.2300000000005
2015-1,6,2016-2,70,70,5106.729999999994,1598.23
